Time,IndexTipX,IndexTipY,IndexTipZ,Trial
0.319666,-0.243784,5.280185,-0.190068,5
0.331186,-0.245854,5.282630,-0.227664,5
0.341788,-0.248013,5.284042,-0.265787,5
0.352750,-0.250280,5.285343,-0.302078,5
0.364566,-0.251272,5.289169,-0.338019,5
0.374733,-0.252351,5.290658,-0.371114,5
0.385953,-0.252222,5.294687,-0.405280,5
0.397819,-0.251290,5.297420,-0.437678,5
0.408537,-0.249582,5.301933,-0.470209,5
0.425578,-0.247222,5.309659,-0.503338,5
0.430335,-0.244399,5.307471,-0.530730,5
0.442135,-0.239024,5.312613,-0.560730,5
0.452296,-0.234897,5.314369,-0.589523,5
0.463835,-0.231285,5.319767,-0.617324,5
0.475248,-0.228183,5.324060,-0.642607,5
0.485914,-0.226418,5.329900,-0.667533,5
0.496887,-0.224719,5.333939,-0.692431,5
0.508809,-0.224300,5.340403,-0.717532,5
0.519790,-0.225968,5.344002,-0.739476,5
0.530659,-0.229063,5.350070,-0.760623,5
0.541998,-0.232026,5.356349,-0.780311,5
0.552784,-0.234908,5.361040,-0.798072,5
0.564048,-0.236080,5.366655,-0.816489,5
0.575074,-0.238760,5.370898,-0.832459,5
0.585876,-0.241290,5.377416,-0.848757,5
0.597890,-0.243341,5.384140,-0.862109,5
0.614440,-0.240348,5.395418,-0.878278,5
0.618971,-0.240166,5.396589,-0.885746,5
0.630148,-0.236144,5.404357,-0.896570,5
0.642281,-0.231064,5.412497,-0.904877,5
0.652174,-0.227054,5.418665,-0.911198,5
0.663605,-0.220337,5.427279,-0.917822,5
0.675168,-0.213869,5.433237,-0.922333,5
0.685977,-0.206827,5.438632,-0.926553,5
0.696952,-0.199994,5.443561,-0.928208,5
0.708456,-0.191845,5.448843,-0.931612,5
0.719095,-0.186262,5.452806,-0.932347,5
0.729941,-0.179588,5.457809,-0.932989,5
0.001480,-0.174694,5.461694,-0.934508,6
0.019138,-0.168877,5.466223,-0.935238,6
0.024324,-0.166109,5.468013,-0.934701,6
0.034898,-0.162493,5.470250,-0.934446,6
0.046012,-0.158124,5.473309,-0.934981,6
0.057536,-0.154510,5.474767,-0.935008,6
0.067674,-0.151767,5.476316,-0.934603,6
0.079392,-0.150000,5.477212,-0.935187,6
0.092002,-0.147922,5.478364,-0.935976,6
0.101623,-0.146499,5.478572,-0.937464,6
0.111726,-0.144481,5.478799,-0.938366,6
0.123654,-0.142255,5.479499,-0.938672,6
0.135090,-0.140407,5.479535,-0.939187,6
0.145418,-0.138361,5.480169,-0.938717,6
0.156860,-0.136480,5.480943,-0.938326,6
0.168127,-0.135989,5.482311,-0.937035,6
0.178689,-0.137103,5.483899,-0.934111,6
0.189694,-0.138595,5.485440,-0.931142,6
0.201215,-0.140929,5.487099,-0.927390,6
0.212314,-0.143667,5.488219,-0.925035,6
0.223445,-0.146572,5.488971,-0.922479,6
0.235180,-0.150236,5.489028,-0.921286,6
0.251919,-0.152852,5.489252,-0.919461,6
0.257381,-0.156711,5.489717,-0.917430,6
0.268382,-0.159262,5.490267,-0.915394,6
0.278871,-0.160995,5.490635,-0.914451,6
0.290683,-0.162068,5.490593,-0.914931,6
0.301885,-0.161698,5.489673,-0.916895,6
0.312078,-0.161974,5.489086,-0.918756,6
0.324017,-0.161159,5.488068,-0.921091,6
0.335186,-0.161315,5.486653,-0.923731,6
0.345278,-0.161187,5.485777,-0.925944,6
0.357159,-0.161610,5.485066,-0.928013,6
